text,primary_label,all_labels,num_labels,all_raw_scores,top_label,top_score,final_label
"Estar predispuesto Y sinceridad, si no esta de acuerdo con algo o no le gusta pueda expresarlo. La idea es ayudar desde un lado positivo.",Active Listening and Openness to Feedback,"['Active Listening and Openness to Feedback', 'Mindset and Motivation', 'Practical Preparation and Readiness']",3.0,"{'Mindset and Motivation': 0.616580198208491, 'Clarity of Business and Self-Understanding': 0.31841568400462467, 'Practical Preparation and Readiness': 0.677822212378184, 'Technology and Platform Requirements': 0.6004567841688792, 'Business Information and Supporting Documents': 0.6063647866249084, 'No Preparation Needed': 0.0005606283472540478, 'Time Availability and Commitment': 0.6430470744768778, 'Product Presentation and Portfolio Materials': 0.5034773896137873, 'Contact Details and Communication Channels': 0.7026293774445852, 'Active Listening and Openness to Feedback': 0.9939479231834412, 'Goal Clarity and Direction Setting': 0.6450870434443156, 'Understanding Mentor Background': 0.5590096016724905, 'Social Media and Digital Presence': 0.5928834875424703}",,,
Tener claro su idea o modelo de negocio y los objetivos que busca cumplir con la mentoría,Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Goal Clarity and Direction Setting']",2.0,"{'Mindset and Motivation': 0.16952296377470097, 'Clarity of Business and Self-Understanding': 0.9242584109306335, 'Practical Preparation and Readiness': 0.10959349293261766, 'Technology and Platform Requirements': 0.014107556004698077, 'Business Information and Supporting Documents': 0.40257441624999046, 'No Preparation Needed': 0.000596872433864822, 'Time Availability and Commitment': 0.13336345056692758, 'Product Presentation and Portfolio Materials': 0.19665021573503813, 'Contact Details and Communication Channels': 0.08199232816696167, 'Active Listening and Openness to Feedback': 0.4302256802717845, 'Goal Clarity and Direction Setting': 0.9986089070638021, 'Understanding Mentor Background': 0.0012124108422237139, 'Social Media and Digital Presence': 0.1710667914400498}",,,
تحديد مجال عملة واهتمامة وتجميع اكبر قدر معلومات عنه,Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Business Information and Supporting Documents', 'Goal Clarity and Direction Setting']",3.0,"{'Mindset and Motivation': 0.3191161535602684, 'Clarity of Business and Self-Understanding': 0.8948037425676981, 'Practical Preparation and Readiness': 0.5956898729006449, 'Technology and Platform Requirements': 0.19512157809610167, 'Business Information and Supporting Documents': 0.8125625848770142, 'No Preparation Needed': 0.00011952335141055907, 'Time Availability and Commitment': 0.1045142865429322, 'Product Presentation and Portfolio Materials': 0.3559359535574913, 'Contact Details and Communication Channels': 0.06024821040531, 'Active Listening and Openness to Feedback': 0.02198207378387451, 'Goal Clarity and Direction Setting': 0.7503502865632375, 'Understanding Mentor Background': 0.02380301997375985, 'Social Media and Digital Presence': 0.07306201476603746}",,,
Basic idea of what the entrepreneur is doing is cogent,UNKNOWN,['UNKNOWN'],1.0,"{'Mindset and Motivation': 0.033771633092934884, 'Clarity of Business and Self-Understanding': 0.11663846764713526, 'Practical Preparation and Readiness': 0.059642573818564415, 'Technology and Platform Requirements': 0.018887145367140572, 'Business Information and Supporting Documents': 0.06097508563349644, 'No Preparation Needed': 0.3656520703807473, 'Time Availability and Commitment': 0.3341889629761378, 'Product Presentation and Portfolio Materials': 0.2731748738636573, 'Contact Details and Communication Channels': 0.23696002985040346, 'Active Listening and Openness to Feedback': 0.49882344404856366, 'Goal Clarity and Direction Setting': 0.14111337127784887, 'Understanding Mentor Background': 0.0018136021681129932, 'Social Media and Digital Presence': 0.22079915149758259}",,,
"1. Tener perfiles habilitados en las principales redes sociales. (Instagram, Facebook, Twitter)
2. Tener al menos entre 8 y 10 horas libres a la semana para hacer proyectos y pequeñas tareas que le serán asignadas para aprender y mejorar en el campo. 
3. Haber identificado el tipo de marcas, comercios o productos con los que le interesa trabajar.",Goal Clarity and Direction Setting,"['Goal Clarity and Direction Setting', 'Social Media and Digital Presence']",2.0,"{'Mindset and Motivation': 0.3514755740761757, 'Clarity of Business and Self-Understanding': 0.21550009648005167, 'Practical Preparation and Readiness': 0.2991607869043946, 'Technology and Platform Requirements': 0.5405044704675674, 'Business Information and Supporting Documents': 0.5360302527745565, 'No Preparation Needed': 0.0005063779511450169, 'Time Availability and Commitment': 0.4101948067545891, 'Product Presentation and Portfolio Materials': 0.4922413130601247, 'Contact Details and Communication Channels': 0.5613499283790588, 'Active Listening and Openness to Feedback': 0.5394682188828787, 'Goal Clarity and Direction Setting': 0.6224554578463236, 'Understanding Mentor Background': 0.05900534025082985, 'Social Media and Digital Presence': 0.6920199990272522}",,,
Membuat usaha.,Mindset and Motivation,"['Mindset and Motivation', 'Contact Details and Communication Channels', 'Active Listening and Openness to Feedback']",3.0,"{'Mindset and Motivation': 0.8430635929107666, 'Clarity of Business and Self-Understanding': 0.738825261592865, 'Practical Preparation and Readiness': 0.7498218417167664, 'Technology and Platform Requirements': 0.6091013054052988, 'Business Information and Supporting Documents': 0.7297362883885702, 'No Preparation Needed': 0.0636555626988411, 'Time Availability and Commitment': 0.6366978685061137, 'Product Presentation and Portfolio Materials': 0.7260167400042216, 'Contact Details and Communication Channels': 0.7850578824679056, 'Active Listening and Openness to Feedback': 0.8407964706420898, 'Goal Clarity and Direction Setting': 0.8946101069450378, 'Understanding Mentor Background': 0.18879558045106629, 'Social Media and Digital Presence': 0.7487555046876272}",,,
"Same as my expectations, willingness and open minded",Active Listening and Openness to Feedback,"['Active Listening and Openness to Feedback', 'Goal Clarity and Direction Setting', 'Mindset and Motivation']",3.0,"{'Mindset and Motivation': 0.7283690571784973, 'Clarity of Business and Self-Understanding': 0.17726633449395499, 'Practical Preparation and Readiness': 0.6166902482509613, 'Technology and Platform Requirements': 0.12260146252810955, 'Business Information and Supporting Documents': 0.2098721917718649, 'No Preparation Needed': 0.4553888700902462, 'Time Availability and Commitment': 0.1909873609741529, 'Product Presentation and Portfolio Materials': 0.5415618717670441, 'Contact Details and Communication Channels': 0.5136658102273941, 'Active Listening and Openness to Feedback': 0.9029642740885416, 'Goal Clarity and Direction Setting': 0.7811598181724548, 'Understanding Mentor Background': 0.3079885393381119, 'Social Media and Digital Presence': 0.4140920067826907}",,,
Motivated individial who has already started business.,Mindset and Motivation,"['Mindset and Motivation', 'Contact Details and Communication Channels', 'Active Listening and Openness to Feedback']",3.0,"{'Mindset and Motivation': 0.7849551836649576, 'Clarity of Business and Self-Understanding': 0.43544389804204303, 'Practical Preparation and Readiness': 0.37638869633277255, 'Technology and Platform Requirements': 0.19550307312359413, 'Business Information and Supporting Documents': 0.3382485806941986, 'No Preparation Needed': 0.052217074359456696, 'Time Availability and Commitment': 0.47263476252555847, 'Product Presentation and Portfolio Materials': 0.4821466455856959, 'Contact Details and Communication Channels': 0.7110854983329773, 'Active Listening and Openness to Feedback': 0.7157728970050812, 'Goal Clarity and Direction Setting': 0.639975349108378, 'Understanding Mentor Background': 0.036478201082597174, 'Social Media and Digital Presence': 0.6167446027199427}",,,
اعرفه بنفسى واسمعه وانصت إليه,Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Active Listening and Openness to Feedback', 'Time Availability and Commitment']",3.0,"{'Mindset and Motivation': 0.5967301726341248, 'Clarity of Business and Self-Understanding': 0.7586497863133749, 'Practical Preparation and Readiness': 0.5874991863965988, 'Technology and Platform Requirements': 0.4932743789007266, 'Business Information and Supporting Documents': 0.576203778386116, 'No Preparation Needed': 0.3465495170870175, 'Time Availability and Commitment': 0.720017691453298, 'Product Presentation and Portfolio Materials': 0.6018767654895782, 'Contact Details and Communication Channels': 0.5631336371103922, 'Active Listening and Openness to Feedback': 0.9303169051806132, 'Goal Clarity and Direction Setting': 0.7052338620026907, 'Understanding Mentor Background': 0.48821161190668744, 'Social Media and Digital Presence': 0.6083945830663046}",,,
"Review their commitment, integrity, morals, and passion.",Mindset and Motivation,['Mindset and Motivation'],1.0,"{'Mindset and Motivation': 0.8382243712743124, 'Clarity of Business and Self-Understanding': 0.09595863086481889, 'Practical Preparation and Readiness': 0.060176167326668896, 'Technology and Platform Requirements': 0.0033417219140877328, 'Business Information and Supporting Documents': 0.04593543459971746, 'No Preparation Needed': 0.0004602560560063769, 'Time Availability and Commitment': 0.11310189465681712, 'Product Presentation and Portfolio Materials': 0.07528362423181534, 'Contact Details and Communication Channels': 0.04989682510495186, 'Active Listening and Openness to Feedback': 0.11115544165174167, 'Goal Clarity and Direction Setting': 0.4630362192789714, 'Understanding Mentor Background': 0.551300585269928, 'Social Media and Digital Presence': 0.03253002588947614}",,,
Have a good idea of what challenges the entrepreneur needs help with and come to the meeting with concrete topics for discussion.,Active Listening and Openness to Feedback,['Active Listening and Openness to Feedback'],1.0,"{'Mindset and Motivation': 0.11646359136405711, 'Clarity of Business and Self-Understanding': 0.3386767605940501, 'Practical Preparation and Readiness': 0.5069510638713837, 'Technology and Platform Requirements': 0.37722274226446945, 'Business Information and Supporting Documents': 0.5867140690485636, 'No Preparation Needed': 0.0006565373041667044, 'Time Availability and Commitment': 0.15499112010002136, 'Product Presentation and Portfolio Materials': 0.3435132789115111, 'Contact Details and Communication Channels': 0.15561636661489806, 'Active Listening and Openness to Feedback': 0.8958613475163778, 'Goal Clarity and Direction Setting': 0.3963107466697693, 'Understanding Mentor Background': 0.0021540891029872, 'Social Media and Digital Presence': 0.24540785575906435}",,,
Tener un listado de los puntos a tratar y contar con toda la información que considere necesaria,Practical Preparation and Readiness,"['Practical Preparation and Readiness', 'Business Information and Supporting Documents', 'Goal Clarity and Direction Setting']",3.0,"{'Mindset and Motivation': 0.5257371632615104, 'Clarity of Business and Self-Understanding': 0.4707518269618352, 'Practical Preparation and Readiness': 0.8666455745697021, 'Technology and Platform Requirements': 0.5566089299196998, 'Business Information and Supporting Documents': 0.6231368134419123, 'No Preparation Needed': 0.00012372684674725556, 'Time Availability and Commitment': 0.5338291227817535, 'Product Presentation and Portfolio Materials': 0.5581681554516157, 'Contact Details and Communication Channels': 0.4582678924004237, 'Active Listening and Openness to Feedback': 0.41231074184179306, 'Goal Clarity and Direction Setting': 0.6477420032024384, 'Understanding Mentor Background': 0.00434925911637644, 'Social Media and Digital Presence': 0.509120429555575}",,,
Niat dan usaha.,Mindset and Motivation,"['Mindset and Motivation', 'Goal Clarity and Direction Setting', 'Practical Preparation and Readiness']",3.0,"{'Mindset and Motivation': 0.9805900851885477, 'Clarity of Business and Self-Understanding': 0.5102928802371025, 'Practical Preparation and Readiness': 0.722868005434672, 'Technology and Platform Requirements': 0.05887684280363222, 'Business Information and Supporting Documents': 0.19156195192287365, 'No Preparation Needed': 0.0004450343258213252, 'Time Availability and Commitment': 0.38763976593812305, 'Product Presentation and Portfolio Materials': 0.3554287900527318, 'Contact Details and Communication Channels': 0.36098941663901013, 'Active Listening and Openness to Feedback': 0.5208085626363754, 'Goal Clarity and Direction Setting': 0.7682713071505228, 'Understanding Mentor Background': 0.14725573795537153, 'Social Media and Digital Presence': 0.568164644141992}",,,
"Yang perlu disiapkan yaitu konsep produk yang akan dijual seperti nama brand, produk yang dijual, harga, dll.",UNKNOWN,['UNKNOWN'],1.0,"{'Mindset and Motivation': 0.006231967204560836, 'Clarity of Business and Self-Understanding': 0.046031877398490906, 'Practical Preparation and Readiness': 0.04844213149044663, 'Technology and Platform Requirements': 0.005050282537316282, 'Business Information and Supporting Documents': 0.02026245502444605, 'No Preparation Needed': 7.314509275602177e-05, 'Time Availability and Commitment': 0.03997700079344213, 'Product Presentation and Portfolio Materials': 0.08486839849501848, 'Contact Details and Communication Channels': 0.004544001072645187, 'Active Listening and Openness to Feedback': 0.1843696671227614, 'Goal Clarity and Direction Setting': 0.04393758190174898, 'Understanding Mentor Background': 0.0018123610837695499, 'Social Media and Digital Presence': 0.08532140217721462}",,,
Waktu dan kesediaan,Practical Preparation and Readiness,"['Practical Preparation and Readiness', 'Time Availability and Commitment', 'Active Listening and Openness to Feedback']",3.0,"{'Mindset and Motivation': 0.2666076794266701, 'Clarity of Business and Self-Understanding': 0.08154901086042325, 'Practical Preparation and Readiness': 0.9186645150184631, 'Technology and Platform Requirements': 0.04223284590989351, 'Business Information and Supporting Documents': 0.1293021167318026, 'No Preparation Needed': 0.0006248053590146204, 'Time Availability and Commitment': 0.9083941777547201, 'Product Presentation and Portfolio Materials': 0.4113560765981674, 'Contact Details and Communication Channels': 0.558513730764389, 'Active Listening and Openness to Feedback': 0.8356383641560873, 'Goal Clarity and Direction Setting': 0.5119038422902426, 'Understanding Mentor Background': 0.6381025910377502, 'Social Media and Digital Presence': 0.46437447766462964}",,,
I want a mentor,Mindset and Motivation,"['Mindset and Motivation', 'Practical Preparation and Readiness', 'Time Availability and Commitment']",3.0,"{'Mindset and Motivation': 0.8697778383890787, 'Clarity of Business and Self-Understanding': 0.6052234967549642, 'Practical Preparation and Readiness': 0.8100977738698324, 'Technology and Platform Requirements': 0.6006545796990395, 'Business Information and Supporting Documents': 0.7484555244445801, 'No Preparation Needed': 0.396550338404874, 'Time Availability and Commitment': 0.8324323097864786, 'Product Presentation and Portfolio Materials': 0.6781380772590637, 'Contact Details and Communication Channels': 0.8554115692774454, 'Active Listening and Openness to Feedback': 0.9122214118639628, 'Goal Clarity and Direction Setting': 0.9658239086469015, 'Understanding Mentor Background': 0.5076465209325155, 'Social Media and Digital Presence': 0.8336208661397299}",,,
Fresh breath,Mindset and Motivation,"['Mindset and Motivation', 'Practical Preparation and Readiness', 'No Preparation Needed']",3.0,"{'Mindset and Motivation': 0.8896589676539103, 'Clarity of Business and Self-Understanding': 0.6261890530586243, 'Practical Preparation and Readiness': 0.7687214612960815, 'Technology and Platform Requirements': 0.6196264723936716, 'Business Information and Supporting Documents': 0.5898021558920542, 'No Preparation Needed': 0.8091443081696829, 'Time Availability and Commitment': 0.6988393465677897, 'Product Presentation and Portfolio Materials': 0.7414941589037577, 'Contact Details and Communication Channels': 0.8378930489222208, 'Active Listening and Openness to Feedback': 0.9212517738342285, 'Goal Clarity and Direction Setting': 0.9091350237528483, 'Understanding Mentor Background': 0.7589126825332642, 'Social Media and Digital Presence': 0.7648940682411194}",,,
"Smartphone/komputer,jaringan internet dan media sosial",Technology and Platform Requirements,"['Technology and Platform Requirements', 'Contact Details and Communication Channels', 'Goal Clarity and Direction Setting']",3.0,"{'Mindset and Motivation': 0.31628211711843807, 'Clarity of Business and Self-Understanding': 0.22443870951732, 'Practical Preparation and Readiness': 0.4271080295244853, 'Technology and Platform Requirements': 0.8832168181737264, 'Business Information and Supporting Documents': 0.045015253126621246, 'No Preparation Needed': 0.49325416795909405, 'Time Availability and Commitment': 0.4928669035434723, 'Product Presentation and Portfolio Materials': 0.4607688436905543, 'Contact Details and Communication Channels': 0.7799192468325297, 'Active Listening and Openness to Feedback': 0.7148597637812296, 'Goal Clarity and Direction Setting': 0.7502224246660868, 'Understanding Mentor Background': 0.5309735536575317, 'Social Media and Digital Presence': 0.7768434385458628}",,,
"Жажда получить знания, ответственность, пунктуальность, честность.",Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Mindset and Motivation', 'Practical Preparation and Readiness']",3.0,"{'Mindset and Motivation': 0.6904715299606323, 'Clarity of Business and Self-Understanding': 0.7834127346674601, 'Practical Preparation and Readiness': 0.7020878195762634, 'Technology and Platform Requirements': 0.167167461089169, 'Business Information and Supporting Documents': 0.33197006831566495, 'No Preparation Needed': 0.00026062153726040077, 'Time Availability and Commitment': 0.67940420905749, 'Product Presentation and Portfolio Materials': 0.3390844315290451, 'Contact Details and Communication Channels': 0.6024566193421682, 'Active Listening and Openness to Feedback': 0.6586596270402273, 'Goal Clarity and Direction Setting': 0.7319593330224355, 'Understanding Mentor Background': 0.39861203730106354, 'Social Media and Digital Presence': 0.08409366228928168}",,,
"Simplemente ser autentico y entre mas claro sea, mas fácil sera ayudarlo",Goal Clarity and Direction Setting,['Goal Clarity and Direction Setting'],1.0,"{'Mindset and Motivation': 0.26604823519786197, 'Clarity of Business and Self-Understanding': 0.5042692224184672, 'Practical Preparation and Readiness': 0.35489137781163055, 'Technology and Platform Requirements': 0.34824070109364885, 'Business Information and Supporting Documents': 0.4513389567534129, 'No Preparation Needed': 0.2815122976899147, 'Time Availability and Commitment': 0.377615362405777, 'Product Presentation and Portfolio Materials': 0.46431194494167966, 'Contact Details and Communication Channels': 0.43517669290304184, 'Active Listening and Openness to Feedback': 0.5711509088675181, 'Goal Clarity and Direction Setting': 0.6502854625384012, 'Understanding Mentor Background': 0.09342371392995119, 'Social Media and Digital Presence': 0.4321233580509822}",,,
التفاكر وطرح الخطط لاكتشاف افاق تمكننا من المضي قدما,Mindset and Motivation,"['Mindset and Motivation', 'Goal Clarity and Direction Setting', 'Practical Preparation and Readiness']",3.0,"{'Mindset and Motivation': 0.783565511306127, 'Clarity of Business and Self-Understanding': 0.29723381002744037, 'Practical Preparation and Readiness': 0.6470657587051392, 'Technology and Platform Requirements': 0.2732823596646388, 'Business Information and Supporting Documents': 0.3142735982934634, 'No Preparation Needed': 0.00015664119564462453, 'Time Availability and Commitment': 0.16440121829509735, 'Product Presentation and Portfolio Materials': 0.2962280561526616, 'Contact Details and Communication Channels': 0.244258813560009, 'Active Listening and Openness to Feedback': 0.35047914801786345, 'Goal Clarity and Direction Setting': 0.779103547334671, 'Understanding Mentor Background': 0.007667630755652984, 'Social Media and Digital Presence': 0.26554423818985623}",,,
Надо верить себя и прийти ко мне,Mindset and Motivation,"['Mindset and Motivation', 'Active Listening and Openness to Feedback', 'Goal Clarity and Direction Setting']",3.0,"{'Mindset and Motivation': 0.8872336546579996, 'Clarity of Business and Self-Understanding': 0.6580811639626821, 'Practical Preparation and Readiness': 0.4677346150080363, 'Technology and Platform Requirements': 0.4030249485125144, 'Business Information and Supporting Documents': 0.5443712870279948, 'No Preparation Needed': 0.14164906150350967, 'Time Availability and Commitment': 0.6357166667779287, 'Product Presentation and Portfolio Materials': 0.6244738698005676, 'Contact Details and Communication Channels': 0.6949242552121481, 'Active Listening and Openness to Feedback': 0.894531766573588, 'Goal Clarity and Direction Setting': 0.905194362004598, 'Understanding Mentor Background': 0.4858681758244832, 'Social Media and Digital Presence': 0.7397341231505076}",,,
"Please answer the following questions: 
Description of current stage of business. Planning, execution, expansion? 
What are your main priorities? 
What are the main challenges you are facing now?",Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Business Information and Supporting Documents', 'Active Listening and Openness to Feedback']",3.0,"{'Mindset and Motivation': 0.026512787211686373, 'Clarity of Business and Self-Understanding': 0.9452653129895529, 'Practical Preparation and Readiness': 0.029382067422072094, 'Technology and Platform Requirements': 0.007529559273583193, 'Business Information and Supporting Documents': 0.7165551582972208, 'No Preparation Needed': 0.00035554711939767003, 'Time Availability and Commitment': 0.034643674618564546, 'Product Presentation and Portfolio Materials': 0.02801162749528885, 'Contact Details and Communication Channels': 0.013515433141340813, 'Active Listening and Openness to Feedback': 0.6541048089663187, 'Goal Clarity and Direction Setting': 0.3249984309077263, 'Understanding Mentor Background': 0.004587576288031414, 'Social Media and Digital Presence': 0.18034001098324856}",,,
An entrepreneur should be willing to set some undivided time to speak with me.  Be open to answering questions.,Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Active Listening and Openness to Feedback', 'Business Information and Supporting Documents']",3.0,"{'Mindset and Motivation': 0.4963146293691049, 'Clarity of Business and Self-Understanding': 0.7624477545420328, 'Practical Preparation and Readiness': 0.4322578509648641, 'Technology and Platform Requirements': 0.5758475512266159, 'Business Information and Supporting Documents': 0.644656111796697, 'No Preparation Needed': 0.13616899610497057, 'Time Availability and Commitment': 0.7221956551074982, 'Product Presentation and Portfolio Materials': 0.6510699391365051, 'Contact Details and Communication Channels': 0.7360807855923971, 'Active Listening and Openness to Feedback': 0.9390653173128763, 'Goal Clarity and Direction Setting': 0.7474886576334635, 'Understanding Mentor Background': 0.14125976005258659, 'Social Media and Digital Presence': 0.694574236869812}",,,
"Be prepare to learn and try new things.
Be ready to read.
Be free to ask questions.
Have flexible mindset.
Be punctual and polite.
Be ready to take practical assignments.
Be prepared for Self-evaluation.
Be ready to apply assigned tasks.
Be a good learner and dower.",Mindset and Motivation,"['Mindset and Motivation', 'Practical Preparation and Readiness', 'Business Information and Supporting Documents']",3.0,"{'Mindset and Motivation': 0.7929553985595703, 'Clarity of Business and Self-Understanding': 0.26836173236370087, 'Practical Preparation and Readiness': 0.9716174602508545, 'Technology and Platform Requirements': 0.5472156554460526, 'Business Information and Supporting Documents': 0.6556762357552847, 'No Preparation Needed': 0.0001558642106829211, 'Time Availability and Commitment': 0.3316511983672778, 'Product Presentation and Portfolio Materials': 0.5931595762570699, 'Contact Details and Communication Channels': 0.6530917584896088, 'Active Listening and Openness to Feedback': 0.510870357354482, 'Goal Clarity and Direction Setting': 0.14291438708702722, 'Understanding Mentor Background': 0.19963786005973816, 'Social Media and Digital Presence': 0.6092131634553274}",,,
-,,,,{},UNKNOWN,0.0,UNKNOWN
